2024-12-05 12:08:30,769 - INFO - hi
2024-12-05 12:08:35,849 - INFO - ====== 55 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/badminton/satwik-chirag-withdraw-from-syed-modi-international-tourney/articleshow/115721906.cms', 'Title': 'No Title'}
2024-12-05 12:08:35,865 - INFO - ====== 56 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/badminton/match-point-couple-to-play-partners-in-badminton-court-too/articleshow/115687584.cms', 'Title': 'No Title'}
2024-12-05 12:08:35,879 - INFO - ====== 57 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/badminton/china-masters-satwik-chirag-duo-loses-in-semifinals/articleshow/115614915.cms', 'Title': 'No Title'}
2024-12-05 12:08:35,893 - INFO - ====== 58 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/badminton/china-masters-satwik-chirag-pair-makes-semis-lakshya-knocked-out/articleshow/115583742.cms', 'Title': 'No Title'}
2024-12-05 12:08:35,905 - INFO - ====== 59 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/badminton/china-masters-lakshya-sen-satwik-chirag-in-quarters-sindhu-exits/articleshow/115546433.cms', 'Title': 'No Title'}
2024-12-05 12:08:35,909 - INFO - ====== 60 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/badminton/nagpurs-malvika-bansod-stuns-world-no-21-to-take-korea-open-revenge-in-china-masters/articleshow/115519074.cms', 'Title': 'No Title'}
2024-12-05 12:08:35,929 - INFO - ====== 61 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/badminton/lakshya-sen-avenges-olympic-loss-to-malaysias-zii-jia/articleshow/115516448.cms', 'Title': 'No Title'}
2024-12-05 12:08:35,941 - INFO - ====== 62 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/badminton/lakshya-sen-pv-sindhu-win-opening-round-matches-in-china-masters/articleshow/115495950.cms', 'Title': 'No Title'}
2024-12-05 12:08:35,952 - INFO - ====== 63 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/wwe/top-stories/becky-lynch-teases-wwe-return-after-appearing-at-netflix-hq-media-event/articleshow/115991716.cms', 'Title': 'No Title'}
2024-12-05 12:08:35,959 - INFO - ====== 64 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/wwe/top-stories/the-comeback-king-triple-h-talks-drew-mcintyres-desire-to-return-to-wwe/articleshow/115985094.cms', 'Title': "The Comeback King? Triple H Talks Drew McIntyre's Desire to Return to WWE"}
2024-12-05 12:08:35,974 - INFO - ====== 65 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/wwe/top-stories/the-ultimate-guide-to-wwe-superstar-fitness-from-dwayne-the-rock-johnson-to-big-e/articleshow/115983886.cms', 'Title': "The Ultimate Guide to WWE Superstar Fitness: From Dwayne 'The Rock' Johnson to Big E"}
2024-12-05 12:08:35,984 - INFO - ====== 66 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/wwe/top-stories/roman-reigns-and-the-monster-trio-wwe-ready-for-a-possible-reformed-og-bloodline/articleshow/115976940.cms', 'Title': 'Roman Reigns and the Monster Trio: WWE Ready for a Possible REFORMED OG Bloodline?'}
2024-12-05 12:08:35,994 - INFO - ====== 67 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/wwe/top-stories/kofi-kingston-opines-on-wwe-raw-betrayal/articleshow/115978294.cms', 'Title': 'Kofi Kingston Opines on WWE RAW Betrayal'}
2024-12-05 12:08:36,009 - INFO - ====== 68 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/wwe/top-stories/who-is-sami-zayns-wife-exploring-the-personal-life-of-roman-reigns-team-member/articleshow/115974994.cms', 'Title': "Who is Sami Zayn's wife? Exploring the personal life of Roman Reigns' team member"}
2024-12-05 12:08:36,024 - INFO - ====== 69 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/wwe/top-stories/wwe-legends-who-beat-cancer-from-roman-reigns-to-the-undertakers-wife-michelle-mccool/articleshow/115969022.cms', 'Title': 'No Title'}
2024-12-05 12:08:36,029 - INFO - ====== 70 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/wwe/top-stories/goat-for-a-reason-5-reasons-why-roman-reigns-is-the-greatest-wwe-performers-of-all-time/articleshow/115965570.cms', 'Title': 'No Title'}
2024-12-05 12:08:36,049 - INFO - ====== 71 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/wwe/top-stories/this-is-pure-cinema-at-its-finest-fans-burst-out-laughing-after-wwe-released-hilarious-unseen-cage-footage-of-roman-reigns-and-cm-punk/articleshow/115957594.cms', 'Title': 'No Title'}
2024-12-05 12:08:36,059 - INFO - ====== 72 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/wwe/top-stories/fans-react-to-drew-mcintyres-return-to-wwe-monday-night-raw/articleshow/115947774.cms', 'Title': 'No Title'}
2024-12-05 12:08:36,074 - INFO - ====== 73 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/wwe/top-stories/rhea-ripleys-cryptic-message-is-a-feud-brewing/articleshow/115946862.cms', 'Title': 'No Title'}
2024-12-05 12:08:36,087 - INFO - ====== 74 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/wwe/top-stories/wwes-official-social-media-page-calls-out-new-days-kofi-kingston-and-xavier-woods-over-big-e-betrayal/articleshow/115945559.cms', 'Title': 'No Title'}
2024-12-05 12:08:36,099 - INFO - ====== 75 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/wwe/top-stories/wwe-superstar-sheamus-injured-latest-update-and-return-timeline-after-survivor-series-2024/articleshow/115945261.cms', 'Title': 'No Title'}
